DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/10/2018,18:20,,,40.8594,-73.87257,"(40.8594, -73.87257)",BRONX RIVER PARKWAY             ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,3860286,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/10/2018,18:20,MANHATTAN,10123,40.751328,-73.990395,"(40.751328, -73.990395)",,,450       7 AVENUE                      ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3860797,PASSENGER VEHICLE,TAXI,,,
03/10/2018,18:15,,,40.828075,-73.88543,"(40.828075, -73.88543)",SHERIDAN EXPRESSWAY             ,WESTCHESTER AVENUE,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3860444,PASSENGER VEHICLE,TAXI,,,
03/10/2018,18:15,,,40.601486,-74.193275,"(40.601486, -74.193275)",,,1775      SOUTH AVENUE                  ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3860268,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/10/2018,18:12,,,40.58695,-74.16416,"(40.58695, -74.16416)",,,112       RICHMOND HILL ROAD            ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3860257,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
03/10/2018,17:42,MANHATTAN,10039,40.8285,-73.93779,"(40.8285, -73.93779)",8 AVENUE                        ,WEST 154 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3861366,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
03/10/2018,17:30,,,40.787224,-73.95417,"(40.787224, -73.95417)",EAST 96 STREET                  ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3861504,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
03/10/2018,17:30,QUEENS,11366,40.729004,-73.79781,"(40.729004, -73.79781)",73 AVENUE                       ,172 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3860260,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
03/10/2018,17:27,BROOKLYN,11207,40.677235,-73.89709,"(40.677235, -73.89709)",,,2641      FULTON STREET                 ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3861587,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/10/2018,17:25,,,40.704422,-73.99491,"(40.704422, -73.99491)",BROOKLYN BRIDGE                 ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3860583,TAXI,PICK-UP TRUCK,,,
03/10/2018,17:23,BROOKLYN,11216,40.679634,-73.94959,"(40.679634, -73.94959)",NOSTRAND AVENUE                 ,HERKIMER STREET,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3860396,TAXI,TAXI,,,
03/10/2018,17:21,MANHATTAN,10031,40.828922,-73.9504,"(40.828922, -73.9504)",RIVERSIDE DRIVE                 ,WEST 148 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3860242,TAXI,SPORT UTILITY / STATION WAGON,,,
03/10/2018,17:20,,,40.735336,-73.91689,"(40.735336, -73.91689)",BROOKLYN QUEENS EXPRESSWAY      ,,,1,0,0,0,0,0,1,0,Lost Consciousness,,,,,3860314,PASSENGER VEHICLE,,,,
03/10/2018,17:15,,,40.665882,-73.99642,"(40.665882, -73.99642)",3 AVENUE                        ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3860203,PASSENGER VEHICLE,TK,,,
03/10/2018,17:10,,,40.815304,-73.94371,"(40.815304, -73.94371)",7 AVENUE                        ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3864355,BR,PASSENGER VEHICLE,,,
03/10/2018,17:10,QUEENS,11361,40.761993,-73.75849,"(40.761993, -73.75849)",223 STREET                      ,NORTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3860197,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
03/10/2018,17:05,,,40.739628,-74.00634,"(40.739628, -74.00634)",9 AVENUE                        ,,,1,0,1,0,0,0,0,0,Unspecified,,,,,3861104,BU,,,,
03/10/2018,17:04,,,40.856537,-73.87257,"(40.856537, -73.87257)",BRONX RIVER PARKWAY             ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3860282,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
03/10/2018,17:00,QUEENS,11413,40.68561,-73.75027,"(40.68561, -73.75027)",SPRINGFIELD BOULEVARD           ,197 STREET,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3861474,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
03/10/2018,17:00,,,40.82403,-73.94476,"(40.82403, -73.94476)",SAINT NICHOLAS AVENUE           ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3860256,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
03/10/2018,17:00,QUEENS,11419,40.68779,-73.820175,"(40.68779, -73.820175)",LIBERTY AVENUE                  ,124 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3860245,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/10/2018,17:00,QUEENS,11412,40.702557,-73.76233,"(40.702557, -73.76233)",194 STREET                      ,111 AVENUE,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,,,3860299,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/10/2018,17:00,QUEENS,11101,40.746033,-73.93441,"(40.746033, -73.93441)",QUEENS BOULEVARD                ,SKILLMAN AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3860312,MOTORCYCLE,TAXI,,,
03/10/2018,17:00,BROOKLYN,11223,40.603348,-73.97236,"(40.603348, -73.97236)",MC DONALD AVENUE                ,BILLINGS PLACE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3860092,PICK-UP TRUCK,PASSENGER VEHICLE,,,
03/10/2018,16:50,,,40.82871,-73.81654,"(40.82871, -73.81654)",RANDALL AVENUE                  ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3861257,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
03/10/2018,16:50,BROOKLYN,11207,40.682163,-73.889015,"(40.682163, -73.889015)",JAMAICA AVENUE                  ,JEROME STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3861944,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
03/10/2018,16:45,,,40.728645,-73.88074,"(40.728645, -73.88074)",LONG ISLAND EXPRESSWAY          ,,,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,,,,3859867,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
03/10/2018,16:45,,,40.71665,-73.94474,"(40.71665, -73.94474)",GRAHAM AVENUE                   ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3860687,PASSENGER VEHICLE,MS,,,
03/10/2018,16:40,,,40.728645,-73.88074,"(40.728645, -73.88074)",LONG ISLAND EXPRESSWAY          ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3859866,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
03/10/2018,16:40,BROOKLYN,11234,40.63057,-73.92712,"(40.63057, -73.92712)",AVENUE I                        ,EAST 51 STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3861457,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
03/10/2018,16:32,BROOKLYN,11221,40.68879,-73.91691,"(40.68879, -73.91691)",BUSHWICK AVENUE                 ,CORNELIA STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3860369,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
03/10/2018,16:30,QUEENS,11379,40.711056,-73.874626,"(40.711056, -73.874626)",,,78-40     68 AVENUE                     ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3862897,PASSENGER VEHICLE,TAXI,,,
03/10/2018,16:30,QUEENS,11379,40.71114,-73.87344,"(40.71114, -73.87344)",68 AVENUE                       ,79 STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3862908,PASSENGER VEHICLE,PICK-UP TRUCK,,,
03/10/2018,16:30,BROOKLYN,11201,40.699978,-73.98779,"(40.699978, -73.98779)",PEARL STREET                    ,SANDS STREET,,0,0,0,0,0,0,0,0,Illness,,,,,3860187,PASSENGER VEHICLE,,,,
03/10/2018,16:27,MANHATTAN,10025,40.79418,-73.9707,"(40.79418, -73.9707)",,,204       WEST 96 STREET                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3861083,SPORT UTILITY / STATION WAGON,TAXI,,,
03/10/2018,16:26,BROOKLYN,11216,40.680313,-73.94332,"(40.680313, -73.94332)",TOMPKINS AVENUE                 ,DECATUR STREET,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3860381,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
03/10/2018,16:25,BROOKLYN,11204,40.619156,-73.99388,"(40.619156, -73.99388)",67 STREET                       ,17 AVENUE,,1,0,0,0,0,0,1,0,Unspecified,,,,,3859860,PASSENGER VEHICLE,,,,
03/10/2018,16:25,QUEENS,11377,40.740383,-73.896706,"(40.740383, -73.896706)",,,68-001    QUEENS BOULEVARD              ,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Unspecified,,,,3862973,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
03/10/2018,16:25,BROOKLYN,11223,40.599037,-73.968994,"(40.599037, -73.968994)",,,2089      EAST 3 STREET                 ,0,0,0,0,0,0,0,0,Tire Failure/Inadequate,Unspecified,,,,3860165,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
03/10/2018,16:20,BROOKLYN,11209,40.61696,-74.02751,"(40.61696, -74.02751)",FORT HAMILTON PARKWAY           ,92 STREET,,1,0,1,0,0,0,0,0,,,,,,3860760,,,,,
03/10/2018,16:15,QUEENS,11421,40.692875,-73.86697,"(40.692875, -73.86697)",,,85-80     75 STREET                     ,0,0,0,0,0,0,0,0,Backing Unsafely,Driver Inattention/Distraction,,,,3860949,TAXI,TAXI,,,
03/10/2018,16:15,BROOKLYN,11225,40.659996,-73.961006,"(40.659996, -73.961006)",,,2100      BEEKMAN PLACE                 ,0,0,0,0,0,0,0,0,Backing Unsafely,Backing Unsafely,,,,3861375,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
03/10/2018,16:13,STATEN ISLAND,10310,40.63436,-74.11944,"(40.63436, -74.11944)",CASTLETON AVENUE                ,CAROLINE STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3860663,PASSENGER VEHICLE,PICK-UP TRUCK,,,
03/10/2018,16:11,,,40.8037,-73.93582,"(40.8037, -73.93582)",EAST 125 STREET                 ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3863990,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
03/10/2018,16:10,,,40.714314,-73.97481,"(40.714314, -73.97481)",WILLIAMSBURG BRIDGE INNER ROADWA,,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,,,,,3860304,SPORT UTILITY / STATION WAGON,,,,
03/10/2018,16:10,QUEENS,11377,40.7438,-73.89492,"(40.7438, -73.89492)",,,41-015    70 STREET                     ,0,0,0,0,0,0,0,0,Backing Unsafely,View Obstructed/Limited,,,,3862972,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
